wds_id,discov#,comp,first,last,obs,pa_first,pa_last,sep_first,sep_last,mag1,mag2,spectr,pm1_ra,pm1_dec,pm2_ra,pm2_dec,notes,coord_arcsec_2000
09325-3819,COO 85,,1913,2015,9,139,137,7.5,7.8,8.57,10.88,B9.5V,-29,14,-25,17,,093230.59-381858.4
10594+1154,HDS1567,,1907,2015,15,8,10,8.2,7.8,8.96,11.54,G5,2,-15,2,-16,,105926.22+115344.5
14000-4714,HJ 4638,AB,1834,2015,8,315,311,5.0,7.8,9.75,11.10,B7V,4,-5,,,N,135959.52-471334.2
15054-5402,CPO 410,,1892,2015,7,296,291,8.1,7.8,9.75,11.03,B8Ib/II,1,-8,-8,-9,,150523.35-540209.8
15368-5010,HDS2197,,1898,2015,9,198,203,8.4,7.8,8.74,9.71,F8/G0V,-45,-128,-69,-146,,153646.45-501007.5
07017-1039,GAL 289,BC,1904,2015,8,62,60,8.0,8.0,10.70,12.50,,-1,3,-3,4,,070140.66-103839.9
07347+2450,POU2835,,1900,2015,11,42,40,7.8,8.0,9.59,12.00,K0,6,6,13,20,,073439.49+244938.5
12339-7240,NZO 30,,1905,2015,7,30,40,4.0,8.0,10.30,12.20,,-24,-11,-6,-1,R,123353.51-723950.1
06101+2418,POU1081,,1905,2015,8,142,131,10.0,8.1,10.40,13.30,,-1,-19,,,,061007.43+241739.0
07562-3055,COO 63,,1913,2015,8,312,309,8.8,8.1,8.95,9.19,A1V,-9,-5,-7,-4,,075606.97-305440.9
08235-6059,HJ 4097,,1836,2015,10,356,21,10.0,8.1,10.25,10.50,,-22,47,0,19,,082324.91-605919.5
08401-4745,SKF 87,AB,1902,2015,8,97,97,8.3,8.1,9.60,11.30,A0V,-14,13,-12,14,,084006.65-474454.3
08486-4932,WFC 76,,1904,2015,6,17,16,7.5,8.1,9.85,10.23,K0,-12,2,-12,3,T,084837.03-493232.3
09551+6609,MLB 347,,1893,2015,12,64,61,8.3,8.1,10.13,11.33,,-13,-30,-17,-33,,095504.64+660910.7
10366-5520,WFC 105,,1892,2015,7,98,88,8.2,8.1,10.92,11.87,,-8,9,-5,10,,103635.98-552016.2
11013-5950,HJ 4397,AB,1894,2015,6,114,116,7.7,8.1,10.62,13.30,OB,-8,4,-7,8,,110117.78-595030.2
11031-4103,COO 121,AB,1900,2015,9,155,153,8.2,8.1,9.59,10.59,F0V,8,4,13,-3,,110304.32-410244.9
06463+2344,POU2003,,1925,2015,7,133,135,7.8,8.2,10.87,13.40,,1,-10,6,-20,,064618.12+234411.1
07344-0203,HJ 761,,1827,2015,13,273,275,4.0,8.2,10.80,11.90,,-16,14,-14,24,,073424.78-020255.6
07599-2103,ARA 1021,,1917,2015,7,250,254,8.9,8.2,10.44,10.50,,-2,2,0,5,,075954.07-210319.7
08170-5738,HU 1436,,1911,2015,7,120,115,5.0,8.2,9.95,12.80,A2/3m,-20,15,-11,6,,081658.77-573739.5
09177-2821,B 2676,,1912,2015,9,340,337,7.9,8.2,10.00,11.90,A2IV,-6,1,-10,7,,091739.81-282048.1
10422-6154,HLN 16,"AB,C",1924,2015,6,284,284,9.0,8.2,9.51,12.50,A0IIIp,-10,5,-2,2,,104214.56-615354.5
14542-6117,B 2775,,1900,2015,8,65,61,8.0,8.2,9.98,10.99,A3III,-15,-11,-14,-11,V,145411.06-611714.6
06211+4839,WFC 33,,1897,2015,11,85,84,8.7,8.3,10.28,11.01,,7,-17,4,-17,,062103.52+483906.0
06434-2405,ARA 2012,,1922,2015,6,182,182,8.7,8.3,10.70,12.30,,-16,7,-12,-1,,064325.88-240445.5
10202-2237,HJ 4303,,1835,2015,22,269,267,10.0,8.3,8.55,9.20,A5V,-11,7,-42,6,,102015.89-223713.0
11061-5841,HJ 4404,,1834,2015,10,300,297,5.0,8.3,8.74,10.10,,-6,4,-13,9,,110610.63-584149.4
06146+0051,BAL 993,,1900,2015,12,92,93,8.5,8.4,11.00,11.70,,4,46,16,43,N R,061433.84+005138.3
06313+1544,STT 519,,1847,2015,21,77,78,8.0,8.4,8.36,10.90,G5,-5,-9,-3,-12,,063117.74+154414.4
06318-2330,ARA 2009,,1909,2015,8,99,97,8.2,8.4,10.60,10.90,,6,22,16,19,,063146.46-233036.2
08378+2201,SLE 471,,1893,2015,11,56,54,8.3,8.4,10.59,11.40,,32,-42,,,,083745.64+220056.8
09005-4858,WFC 77,,1902,2015,7,33,33,8.3,8.4,10.09,10.92,B1III,-2,5,-1,11,,090031.56-485826.9
12209-5906,HDS1739,,1892,2015,9,356,356,9.0,8.4,9.13,10.34,A0V(n),-18,0,-22,-3,,122051.04-590606.2
13072+0435,GRV 863,,1908,2015,13,206,205,8.0,8.4,10.00,11.30,,28,21,27,22,V,130712.56+043506.8
06487+2359,POU2032,,1925,2015,9,197,193,9.4,8.5,9.71,11.90,F2,-5,-19,-12,-36,,064839.25+235917.8
07410-1629,HLD 90,CD,1903,2015,8,141,143,8.4,8.5,9.59,11.23,G,-2,1,-2,0,,074057.91-163035.4
10473-6006,COO 116,AC,1892,2015,7,276,276,8.3,8.5,10.00,10.60,O9V,31,0,,,,104716.42-600540.0
14112-3552,COO 287,,1900,2015,13,140,136,7.7,8.5,10.69,10.70,,-17,21,-7,14,,141114.06-355217.2
06584+0130,BAL1366,,1909,2015,10,348,346,9.2,8.6,11.00,11.30,,-5,-2,-7,-6,,065821.89+012944.6
07166-5100,HJ 3951,,1839,2000,10,66,85,6.0,8.6,10.44,11.60,,-12,22,0,10,N,071638.53-505937.2
08283-2102,ARA 1049,,1920,2015,10,136,178,9.1,8.6,10.25,13.10,,0,6,,,,082820.25-210138.2
08380+2305,HJ 2459,,1830,2015,14,237,233,3.0,8.6,10.30,11.50,,-8,0,-10,-3,,083800.51+230524.9
10095-5839,HJ 4291,,1834,2015,8,216,227,2.5,8.6,11.00,11.30,,-2,4,-6,9,,100928.72-583921.2
10396-5728,FIN 410,,1894,2015,6,319,317,7.8,8.6,8.46,8.40,O8,-4,3,-11,9,,103936.88-572740.7
13434-4754,SKF1130,,1900,2015,8,345,345,8.7,8.6,9.80,11.80,K:+F:,-10,8,-14,11,,134322.02-475413.3
14535+1339,HJ 242,,1825,2015,13,320,285,10.0,8.6,10.80,11.90,,12,-3,,,,145329.65+133911.7
06096+2403,POU1065,AC,1905,2015,9,208,207,8.2,8.7,10.95,13.10,,1,-3,,,,060938.73+240323.6
06396-6427,B 2607,AB,1892,2015,6,107,107,9.7,8.7,9.51,12.50,,4,5,6,3,,063936.50-642711.5
